TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS;LIQUIDEZ MEDIA DIARIA;VPA;LPA;PEG Ratio;VALOR DE MERCADO
SPRI5;8,52;;-1,30;0,96;0,93;;;;-1,18;-2,46;0,17;-0,14;;1,81;-1,93;66,47;-73,82;-71,18;-81,66;0,96;0,04;0,00;;;;8,86;-6,54;0,00;48.073.731,88
SPRI6;11,00;;-1,68;1,24;1,20;;;;-1,52;-2,46;0,17;-0,14;;2,34;-2,49;66,47;-73,82;-71,18;-81,66;0,96;0,04;0,00;;;;8,86;-6,54;0,00;48.073.731,88
SPRT3B;76,40;;1.090,85;6.770,92;5.953,08;;;;772,64;772,51;-0,13;-1,14;;6.770,92;;8,28;620,70;545,73;876,33;0,88;0,12;0,00;;;;0,01;0,07;-8,90;370.531.748,80
SQIA3;27,37;0,20;-110,33;3,70;1,49;42,19;6,45;-3,26;55,72;60,18;4,46;0,30;3,59;25,87;-1,84;1,43;-3,35;-1,35;3,18;0,40;0,58;0,41;35,51;;39.651.585,00;7,40;-0,25;0,44;2.406.971.773,64
SRNA3;9,71;;116,87;1,19;0,34;32,08;29,57;1,86;7,36;18,07;10,54;1,71;2,18;-2,58;-0,38;0,48;1,02;0,29;5,17;0,28;0,72;0,15;;;13.507.037,47;8,16;0,08;;6.183.714.421,08
STBP3;11,79;3,36;25,32;4,65;2,22;46,64;31,99;20,77;16,44;16,18;-0,24;-0,07;5,26;44,68;-2,74;1,35;18,36;8,77;19,96;0,48;0,52;0,42;18,58;;56.815.974,65;2,54;0,47;-19,20;10.171.285.243,13
STKF3;0,00;;0,00;0,00;0,00;52,55;42,44;41,50;0,00;2,81;2,81;0,31;0,00;0,00;0,00;1,72;10,84;7,05;6,09;0,65;0,35;0,17;22,63;114,96;;5,70;0,62;0,00;0,00
STTR3;0,00;;0,00;0,00;0,00;31,37;17,25;14,11;0,00;-0,22;-0,22;-0,09;0,00;0,00;0,00;2,46;32,10;17,86;25,38;0,56;0,44;1,27;22,02;;;2,91;0,94;0,00;0,00
SULA11;22,25;;52,23;1,13;0,31;4,25;-3,34;0,83;-12,92;6,54;19,47;-1,71;0,43;0,85;-0,91;2,29;2,17;0,60;-8,72;0,28;0,72;0,73;4,58;-23,56;;19,64;0,43;-0,94;9.475.042.424,17
SULA3;7,43;;52,32;1,13;0,31;4,25;-3,34;0,83;-12,95;6,54;19,47;-1,71;0,43;0,85;-0,91;2,29;2,17;0,60;-8,72;0,28;0,72;0,73;4,58;-23,56;;6,55;0,14;-0,95;9.475.042.424,17
SULA4;7,63;;53,73;1,17;0,32;4,25;-3,34;0,83;-13,30;6,54;19,47;-1,71;0,44;0,88;-0,93;2,29;2,17;0,60;-8,72;0,28;0,72;0,73;4,58;-23,56;;6,55;0,14;-0,97;9.475.042.424,17
SUZB3;62,18;1,87;4,76;1,94;0,57;42,65;37,39;38,93;4,96;8,51;3,55;1,39;1,85;3,29;-0,78;2,82;40,79;12,03;9,58;0,29;0,70;0,31;36,49;56,62;273.304.955,76;32,02;13,06;-0,72;81.103.074.476,85
SYNE3;8,84;;-34,40;0,89;0,34;50,09;32,30;-9,25;9,85;14,75;4,94;0,45;3,18;4,16;-0,38;4,01;-2,60;-0,97;2,94;0,38;0,36;0,11;1,23;;4.440.115,79;9,90;-0,26;0,33;1.343.271.116,00
TAEE11;35,95;6,23;10,82;1,86;0,64;68,87;71,85;44,57;6,71;11,25;4,55;1,26;4,82;4,65;-0,81;2,71;17,20;5,89;10,64;0,34;0,66;0,13;19,43;12,03;59.894.017,00;19,31;3,32;-0,28;12.353.730.805,02
TAEE3;11,95;6,25;10,79;1,86;0,64;68,87;71,85;44,57;6,70;11,25;4,55;1,26;4,81;4,64;-0,81;2,71;17,20;5,89;10,64;0,34;0,66;0,13;19,43;12,03;1.426.533,12;6,44;1,11;-0,28;12.353.730.805,02
TAEE4;12,00;6,23;10,84;1,86;0,64;68,87;71,85;44,57;6,72;11,25;4,55;1,26;4,83;4,66;-0,82;2,71;17,20;5,89;10,64;0,34;0,66;0,13;19,43;12,03;3.128.220,97;6,44;1,11;-0,28;12.353.730.805,02
TASA3;14,11;9,89;7,73;1,61;0,82;38,11;17,69;11,80;5,15;6,19;1,04;0,33;0,91;3,66;-2,00;1,62;20,87;10,66;14,49;0,51;0,49;0,90;29,58;;203.521,91;8,75;1,83;-0,12;1.787.065.893,90
TASA4;14,07;9,92;7,70;1,61;0,82;38,11;17,69;11,80;5,14;6,19;1,04;0,33;0,91;3,65;-1,99;1,62;20,87;10,66;14,49;0,51;0,49;0,90;29,58;;4.043.120,03;8,75;1,83;-0,12;1.787.065.893,90
TCNO3;1,20;;-7,52;-8,40;0,03;;;;-6,81;-34,51;-28,98;;;-0,08;-0,04;0,28;-111,63;-0,45;-3,55;0,00;1,00;0,00;;;;-0,14;-0,16;-0,28;6.451.072,50
TCNO4;0,85;;-5,33;-5,95;0,02;;;;-4,82;-34,51;-28,98;;;-0,06;-0,03;0,28;-111,63;-0,45;-3,55;0,00;1,00;0,00;;;;-0,14;-0,16;-0,20;6.451.072,50
TCSA3;3,00;;13,37;0,37;0,14;13,97;8,98;4,08;6,08;20,90;14,91;0,92;0,55;0,42;-0,29;2,97;2,79;1,07;1,99;0,38;0,62;0,26;-5,08;;234.835,94;8,03;0,22;-0,11;217.912.920,80
TECN3;3,99;3,82;5,36;0,74;0,43;55,00;17,30;15,45;4,78;4,46;-0,30;-0,05;0,83;0,87;-1,25;4,30;13,89;8,11;11,06;0,58;0,42;0,52;0,65;;709.392,21;5,36;0,74;0,12;281.497.673,55
TEKA3;50,00;;-0,17;-0,01;0,02;19,20;-34,33;-52,84;-0,26;-5,74;-5,52;;0,09;-0,01;-0,02;0,04;-7,43;-13,24;6,67;-1,78;2,78;0,25;15,05;;8.107,20;-4.039,83;-299,99;0,00;22.123.828,00
TEKA4;40,95;;-0,14;-0,01;0,02;19,20;-34,33;-52,84;-0,21;-5,74;-5,52;;0,07;-0,01;-0,02;0,04;-7,43;-13,24;6,67;-1,78;2,78;0,25;15,05;;259.603,26;-4.039,83;-299,99;0,00;22.123.828,00
TELB3;13,87;;-17,65;0,76;0,30;-49,89;-3,91;-17,09;-77,08;0,81;72,79;-0,71;3,02;0,93;-0,49;4,96;-4,28;-1,68;-0,91;0,39;0,61;0,10;36,54;;30.473,77;18,37;-0,79;0,32;1.118.838.039,59
TELB4;10,05;;-12,79;0,55;0,21;-49,89;-3,91;-17,09;-55,85;0,81;72,79;-0,71;2,18;0,67;-0,36;4,96;-4,28;-1,68;-0,91;0,39;0,61;0,10;36,54;;60.007,24;18,37;-0,79;0,23;1.118.838.039,59
TEND3;13,06;;-36,80;2,38;0,38;20,36;3,26;-6,71;75,78;110,27;35,71;1,12;2,47;8,13;-0,67;1,12;-6,46;-1,05;0,49;0,16;0,84;0,16;-17,27;;35.174.704,29;5,50;-0,35;0,40;1.581.761.061,10
TESA3;48,00;;-13,30;1,62;0,52;15,86;9,39;-7,58;10,73;17,39;6,66;1,01;1,01;-11,10;-0,74;0,86;-12,18;-3,94;3,93;0,32;0,68;0,52;7,32;;;29,64;-3,61;0,83;1.389.696.672,00
TFCO4;13,16;0,81;109,76;31,96;20,11;58,03;22,31;17,59;86,54;14,72;0,38;0,14;19,31;41,44;-69,52;3,15;29,11;18,32;25,18;0,63;0,37;1,04;22,58;27,50;1.717.689,26;0,41;0,12;6,25;2.069.945.299,44
TGMA3;28,45;4,11;10,04;2,29;1,61;19,68;14,88;12,15;8,20;7,82;-0,39;-0,11;1,22;4,72;-3,20;3,20;22,82;16,04;17,56;0,70;0,30;1,32;4,80;12,51;4.599.302,41;12,42;2,83;0,24;1.880.423.048,35
TIET11;12,54;;4,38;2,25;0,46;74,66;61,76;49,46;3,51;7,15;3,64;2,34;2,16;1.031,49;-0,52;1,00;51,45;10,47;13,16;0,20;0,72;0,21;-5,19;23,78;;5,57;2,87;0,02;5.004.795.800,93
TIET3;3,49;;6,09;3,13;0,64;74,66;61,76;49,46;4,88;7,15;3,64;2,34;3,01;1.435,37;-0,72;1,00;51,45;10,47;13,16;0,20;0,72;0,21;-5,19;23,78;;1,11;0,57;0,03;5.004.795.800,93
TIET4;3,51;;6,13;3,15;0,64;74,66;61,76;49,46;4,91;7,15;3,64;2,34;3,03;1.443,59;-0,72;1,00;51,45;10,47;13,16;0,20;0,72;0,21;-5,19;23,78;;1,11;0,57;0,03;5.004.795.800,93
TIMS3;18,20;4,99;19,21;1,72;0,79;51,02;17,14;9,81;10,99;11,11;0,10;0,02;1,88;-15,29;-0,98;0,79;8,97;4,10;12,16;0,46;0,54;0,42;5,81;13,18;131.217.988,00;10,56;0,95;2,84;44.155.472.219,52
TKNO3;69,63;;7,65;0,73;0,58;21,80;14,53;10,30;5,43;3,87;-1,21;-0,16;0,79;1,53;-1,28;3,23;9,55;7,56;11,32;0,79;0,21;0,73;19,94;;;95,24;9,10;-0,16;192.165.989,72
TKNO4;60,01;5,25;6,60;0,63;0,50;21,80;14,53;10,30;4,68;3,87;-1,21;-0,16;0,68;1,32;-1,11;3,23;9,55;7,56;11,32;0,79;0,21;0,73;19,94;;16.844,00;95,24;9,10;-0,14;192.165.989,72
TOTS3;30,65;1,44;24,74;4,01;2,16;70,36;17,31;18,09;25,85;23,81;-1,84;-0,29;4,47;7,41;-3,86;2,97;16,23;8,73;8,68;0,54;0,43;0,48;11,23;52,41;129.235.490,56;7,64;1,24;0,40;18.768.540.534,21
TOYB3;2,29;;-43,94;-4,97;4,03;24,06;-10,70;-10,96;-45,00;-47,62;-0,63;;4,81;-5,93;-11,89;0,49;-11,31;-9,18;11,93;-0,81;1,81;0,84;-33,11;;;-0,46;-0,05;0,47;71.890.222,22
TOYB4;2,50;;-47,96;-5,43;4,40;24,06;-10,70;-10,96;-49,12;-47,62;-0,63;;5,26;-6,47;-12,98;0,49;-11,31;-9,18;11,93;-0,81;1,81;0,84;-33,11;;;-0,46;-0,05;0,52;71.890.222,22
TPIS3;3,80;;-2,68;0,19;0,06;10,26;-1,06;-6,50;-16,51;-166,25;-149,96;1,77;0,17;-0,44;-0,06;0,27;-7,27;-2,20;-4,18;0,30;0,70;0,34;-5,55;;202.778,47;19,50;-1,42;0,00;165.000.000,00
TRAD3;0,82;;-2,00;0,48;0,45;26,23;-137,01;-203,14;-2,97;-1,61;1,36;-0,22;4,07;2,03;-0,63;4,63;-24,05;-22,54;-18,15;0,94;0,06;0,11;;;588.240,12;1,70;-0,41;-0,02;229.720.653,16
TRIS3;5,90;2,33;10,32;0,83;0,41;24,05;30,15;11,03;3,77;6,34;2,61;0,57;1,14;0,84;-1,65;2,82;8,01;3,96;11,10;0,49;0,49;0,36;11,47;24,98;2.826.078,47;7,14;0,57;0,12;1.086.114.071,16
TRPL3;33,80;6,52;9,43;1,24;0,63;59,76;62,57;41,02;6,18;7,21;2,00;0,40;3,87;8,03;-0,76;1,90;13,14;6,72;11,65;0,51;0,47;0,16;15,07;11,59;102.423,85;27,28;3,59;-1,11;18.757.972.464,48
TRPL4;24,97;8,83;6,96;0,92;0,47;59,76;62,57;41,02;4,57;7,21;2,00;0,40;2,86;5,93;-0,56;1,90;13,14;6,72;11,65;0,51;0,47;0,16;15,07;11,59;57.812.573,88;27,28;3,59;-0,82;18.757.972.464,48
TRPN3;0,71;;0,44;0,54;0,40;100,00;71,70;59,29;0,37;-0,36;-0,72;-1,07;0,26;0,59;-6,13;3,61;122,35;90,00;90,82;0,74;0,26;1,52;-0,48;-0,38;;1,31;1,60;0,00;32.162.716,00
TTEN3;10,95;1,07;8,71;1,72;0,82;14,89;6,79;7,71;9,89;10,10;0,21;0,04;0,67;3,72;-2,32;1,52;19,74;9,46;9,54;0,48;0,52;1,23;;;13.336.532,24;6,37;1,26;0,40;5.456.359.234,65
TUPY3;27,99;3,59;9,90;1,23;0,40;17,23;6,88;3,59;5,17;8,04;2,88;0,69;0,36;1,26;-1,04;2,10;12,47;4,08;9,94;0,33;0,67;1,13;22,39;21,58;15.012.944,56;22,67;2,83;-0,48;4.028.319.350,00
TXRX3;7,50;;-1,06;-0,09;0,15;19,35;0,21;-18,70;96,80;960,89;905,70;;0,20;-0,15;-0,28;0,32;-8,34;-14,16;-0,47;-1,70;2,70;0,76;20,12;;1.823,17;-84,48;-7,05;-0,02;18.211.485,30
TXRX4;2,60;;-0,37;-0,03;0,05;19,35;0,21;-18,70;33,56;960,89;905,70;;0,07;-0,05;-0,10;0,32;-8,34;-14,16;-0,47;-1,70;2,70;0,76;20,12;;26.132,16;-84,48;-7,05;-0,01;18.211.485,30
UCAS3;2,64;;12,81;0,89;0,57;34,76;4,03;6,15;19,56;17,28;-2,20;-0,10;0,79;31,06;-0,84;1,06;6,91;4,47;4,06;0,65;0,35;0,73;9,24;;167.585,18;2,98;0,21;-0,20;173.807.137,32
UGPA3;28,70;0,87;14,80;2,52;0,88;6,77;3,25;1,68;7,66;9,47;1,83;0,60;0,25;3,95;-1,74;1,81;17,03;5,94;12,14;0,35;0,64;3,53;12,42;6,56;175.259.318,35;11,39;1,94;0,25;31.922.870.150,16
UNIP3;63,88;4,95;8,56;2,36;1,07;35,74;20,79;13,63;5,61;5,62;-0,22;-0,09;1,17;5,22;-1,87;1,92;27,61;12,51;15,50;0,45;0,54;0,92;19,21;20,70;511.008,82;27,04;7,47;-0,15;6.912.440.234,95
UNIP5;68,68;5,17;9,20;2,54;1,15;35,74;20,79;13,63;6,03;5,62;-0,22;-0,09;1,25;5,61;-2,01;1,92;27,61;12,51;15,50;0,45;0,54;0,92;19,21;20,70;25.664,67;27,04;7,47;-0,16;6.912.440.234,95
UNIP6;68,45;5,08;9,17;2,53;1,15;35,74;20,79;13,63;6,01;5,62;-0,22;-0,09;1,25;5,59;-2,00;1,92;27,61;12,51;15,50;0,45;0,54;0,92;19,21;20,70;14.152.176,32;27,04;7,47;-0,16;6.912.440.234,95
USIM3;9,70;3,08;-33,51;0,52;0,30;8,47;-2,09;-1,27;-20,38;-21,59;-0,58;0,01;0,43;0,91;-0,57;3,43;-1,55;-0,90;-2,06;0,58;0,35;0,71;24,78;;13.649.583,35;18,71;-0,29;0,31;12.527.383.875,92
USIM5;10,38;3,17;-35,86;0,55;0,32;8,47;-2,09;-1,27;-21,81;-21,59;-0,58;0,01;0,46;0,97;-0,61;3,43;-1,55;-0,90;-2,06;0,58;0,35;0,71;24,78;;143.665.324,94;18,71;-0,29;0,33;12.527.383.875,92
USIM6;16,90;1,95;-58,39;0,90;0,53;8,47;-2,09;-1,27;-35,51;-21,59;-0,58;0,01;0,74;1,58;-0,99;3,43;-1,55;-0,90;-2,06;0,58;0,35;0,71;24,78;;3.070,67;18,71;-0,29;0,54;12.527.383.875,92
VALE3;61,56;11,35;5,88;1,47;0,63;40,12;31,07;23,03;4,36;5,14;0,78;0,26;1,35;54,24;-0,75;1,08;24,99;10,66;21,26;0,43;0,56;0,46;15,85;21,94;1.811.504.704,74;41,90;10,47;-0,11;279.421.306.624,80
VAMO3;8,88;3,79;15,18;2,01;0,51;44,40;34,31;10,72;4,74;8,98;4,23;1,79;1,63;3,45;-0,72;2,03;13,24;3,36;13,27;0,25;0,75;0,31;64,03;51,58;54.696.745,91;4,42;0,58;0,72;9.806.402.172,72
VBBR3;25,03;3,33;14,33;2,15;0,71;4,58;2,47;1,24;7,18;9,47;2,36;0,71;0,18;2,31;-1,56;2,31;15,01;4,97;11,75;0,33;0,67;4,01;16,50;12,07;226.910.063,94;11,64;1,75;7,33;28.892.000.000,00
VITT3;7,30;1,29;9,61;1,66;1,12;37,83;15,21;14,38;9,08;10,25;1,18;0,22;1,38;2,86;-3,00;2,67;17,27;11,65;13,41;0,67;0,33;0,81;;;3.342.092,35;4,40;0,76;-0,39;1.025.331.990,03
VIVA3;26,70;1,36;16,47;3,36;2,09;69,55;21,53;18,65;14,27;14,33;0,15;0,04;3,07;5,45;-4,89;3,01;20,40;12,67;19,88;0,62;0,38;0,68;;;103.646.171,26;7,95;1,62;1,03;6.266.326.811,57
VIVR3;3,30;;-0,88;4,52;0,30;24,20;-125,27;-123,97;-0,87;-0,78;0,05;-0,28;1,09;14,70;-0,57;1,04;-514,44;-33,76;-264,18;0,07;0,93;0,27;83,05;;627.093,68;0,73;-3,76;0,00;86.962.916,22
